subject	fix_target	ms rate	ms displacement	drift displacement	drift path length	drift speed	BCEA
P3	Bessel	1.565755422	0.145827167	0.097744992	0.488838283	0.672195964	0.019919348
P3	Circle	1.467153669	0.241352386	0.141175852	0.501469797	0.663639061	0.060138799
P3	CircleCrossPoint	1.901142086	0.225724722	0.107702555	0.402035046	0.669846981	0.038411422
P3	Gaussian	1.966790843	0.25151606	0.136939745	0.40929372	0.724180038	0.07132981
P3	Point	1.966685107	0.261257047	0.106976358	0.375733118	0.663948762	0.047006776
P3	Bessel	1.466759806	0.184471569	0.129483799	0.544791268	0.711009066	0.033508746
P3	Circle	1.733443408	0.315560022	0.146574783	0.453964994	0.691809162	0.070448604
P3	CircleCrossPoint	2.469611582	0.424521526	0.106955876	0.354190902	0.71895832	0.074907825
P3	Gaussian	1.633437057	0.307336315	0.179699812	0.688588272	0.991111968	0.104556747
P3	Point	2.169370181	0.313386909	0.121295385	0.369258066	0.707851947	0.054290709
P2	Bessel	1.869398006	0.160411123	0.054493723	0.378888343	0.630545215	0.028532402
P2	Circle	1.866784869	0.322435414	0.060895594	0.442958813	0.639684292	0.050641888
P2	CircleCrossPoint	1.893909105	0.161460612	0.056864492	0.370167834	0.654441558	0.03015852
P2	Gaussian	1.20136778	0.304312593	0.100813534	0.6503927	0.660345029	0.061934323
P2	Point	1.733256721	0.201250444	0.066130212	0.409459219	0.619548866	0.027300189
P2	Bessel	2.215744824	0.317938159	0.08386676	0.446646298	0.922593654	0.103841043
P2	Circle	2.931627707	0.447632898	0.085449954	0.305558915	0.803967008	0.16929166
P2	CircleCrossPoint	2.933519079	0.399178214	0.079530291	0.307991241	0.780277009	0.134591385
P2	Gaussian	2.659828452	0.400059167	0.091239515	0.332015822	0.805462293	0.155823638
P2	Point	2.631095318	0.304412834	0.08492569	0.309039406	0.733249425	0.076026188
P1	Bessel	2.066353156	0.199011065	0.097271026	0.364059626	0.686068949	0.027411518
P1	Circle	1.567861689	0.354194732	0.093761258	0.53311458	0.68402843	0.050950663
P1	CircleCrossPoint	1.933455757	0.157016961	0.099038876	0.37664356	0.675069307	0.015174167
P1	Gaussian	1.463219492	0.306290948	0.120183877	0.530795545	0.687438724	0.044516989
P1	Point	1.405074399	0.179032256	0.113752421	0.546583938	0.68628985	0.01486012
P1	Bessel	2.101715296	0.167229419	0.10956581	0.362151179	0.69779414	0.020756531
P1	Circle	2.001418246	0.445311022	0.11515567	0.436964317	0.722607365	0.090383693
P1	CircleCrossPoint	1.899303754	0.151494025	0.101550583	0.389518279	0.690513767	0.019017185
P1	Gaussian	2.169486959	0.397247805	0.144867083	0.46932195	0.77378119	0.077354025
P1	Point	2.30014606	0.245650037	0.127385369	0.374769871	0.746848234	0.032128002
P3	Bessel	1.500175638	0.188797179	0.115845591	0.69498808	0.884461348	0.036307535
P3	Circle	1.66686182	0.303990999	0.132244024	0.561607314	0.805517928	0.088586132
P3	CircleCrossPoint	1.900018161	0.251657262	0.104814155	0.486234097	0.781507631	0.051810976
P3	Gaussian	1.566850111	0.307194162	0.158910141	0.676191464	0.905157214	0.091332578
P3	Point	1.80011398	0.242114343	0.124202448	0.635777736	0.970598427	0.055814957
P2	Bessel	2.1682031	0.200177427	0.065162643	0.308074246	0.640302391	0.049101547
P2	Circle	2.965101508	0.331287407	0.070298186	0.241588622	0.71348802	0.196120836
P2	CircleCrossPoint	2.83275177	0.241710075	0.050799386	0.236914299	0.680483385	0.066027465
P2	Gaussian	2.700171462	0.36651106	0.063148042	0.268957898	0.716914322	0.13195983
P2	Point	2.933519613	0.293163598	0.073265777	0.252962658	0.718190643	0.113382218
P2	Bessel	2.200021029	0.151127423	0.062133345	0.28522475	0.618861927	0.040102598
P2	Circle	2.932730711	0.324834015	0.069309425	0.250473433	0.711212331	0.164630848
P2	CircleCrossPoint	2.632509353	0.272077359	0.063301799	0.252251205	0.64014138	0.111049456
P2	Gaussian	2.433487418	0.313156134	0.067078809	0.297705117	0.665238023	0.101282533
P2	Point	2.531044352	0.254594738	0.073592013	0.284048384	0.661286671	0.063135336
P1	Bessel	1.46675954	0.109293187	0.099052583	0.573708095	0.731947859	0.010317831
P1	Circle	1.033398767	0.271051868	0.134770072	0.879048874	0.713033004	0.035946444
P1	CircleCrossPoint	1.66686182	0.143190333	0.104444986	0.472163108	0.683440718	0.015153705
P1	Gaussian	0.933392434	0.430948535	0.218980316	0.929189368	0.73029943	0.040097349
P1	Point	1.933455757	0.266327245	0.115636655	0.541330271	0.796454908	0.029164791
P1	Bessel	1.63343676	0.10189496	0.098390831	0.64985204	0.911609776	0.010664032
P1	Circle	1.566765872	0.334650644	0.13161587	0.855317989	0.89613496	0.036754426
P1	CircleCrossPoint	1.733536293	0.121397985	0.112435616	0.476828795	0.737611036	0.015059931
P1	Gaussian	0.9999558	0.347012404	0.191943225	1.005595825	0.819644214	0.048745447
P1	Point	1.633524584	0.121230366	0.094521135	0.489677387	0.722034416	0.014166711
P1	Bessel	1.933455757	0.134012936	0.090290394	0.448573354	0.730048904	0.018104673
P1	Circle	1.63343676	0.377943398	0.166859627	0.897775828	0.914805299	0.043326149
P1	CircleCrossPoint	1.733443092	0.1462655	0.087174935	0.647664035	0.910169871	0.019466963
P1	Gaussian	0.966779856	0.313644871	0.217699805	1.026008403	0.819710345	0.032964926
P1	Point	1.365798617	0.143465854	0.105917632	0.802319933	0.879221633	0.0156798
P6	Bessel	1.434118285	0.209821888	0.062061175	0.523325021	0.722175928	0.042327342
P6	Circle	1.433347295	0.2838901	0.080671775	0.501196182	0.687756743	0.095658403
P6	CircleCrossPoint	1.399336575	0.182318108	0.07243974	0.555727115	0.695018931	0.035387962
P6	Gaussian	1.366753456	0.35723335	0.086133754	0.534228585	0.708372824	0.084569596
P6	Point	1.633612715	0.193500576	0.066014711	0.450743923	0.699789047	0.042537317
P6	Bessel	1.466680953	0.242362289	0.084816103	0.511639887	0.693845094	0.040473194
P6	Circle	1.200076205	0.245108052	0.091620191	0.631113316	0.735235092	0.065547902
P6	CircleCrossPoint	1.800211094	0.21705216	0.071176602	0.414840934	0.691175242	0.050632084
P6	Gaussian	1.500095257	0.373834299	0.112367357	0.509568871	0.697880997	0.091854702
P6	Point	1.699468373	0.276252374	0.06913018	0.46749102	0.728424891	0.086320297
P6	Bessel	1.667848539	0.194933233	0.060185852	0.442606925	0.683092628	0.039110547
P6	Circle	1.233743307	0.229083791	0.074509036	0.571313846	0.659622498	0.053240049
P6	CircleCrossPoint	1.266679005	0.136582624	0.069118446	0.509160128	0.635647754	0.025527829
P6	Gaussian	1.13493075	0.213122046	0.078771491	0.584678634	0.647583116	0.040418162
P6	Point	1.666682901	0.22493644	0.065407031	0.419943121	0.664455036	0.030350677
P5	Bessel	1.666682901	0.116205898	0.075732441	0.422321026	0.629739345	0.014018629
P5	Circle	1.166678031	0.234462285	0.111644777	0.584607119	0.602150791	0.036094708
P5	CircleCrossPoint	1.400088906	0.127350672	0.077997941	0.513689025	0.635531964	0.015253939
P5	Gaussian	1.166489897	0.237347341	0.096015381	0.627399989	0.632458912	0.040152585
P5	Point	1.599671588	0.112703627	0.064969951	0.469401083	0.674080284	0.009315544
P5	Bessel	2.065687325	0.192302722	0.07172606	0.318516385	0.640348715	0.032827806
P5	Circle	2.334234489	0.25141501	0.085249611	0.270636799	0.664377712	0.061449175
P5	CircleCrossPoint	2.699155651	0.174154028	0.085379445	0.296705771	0.754799269	0.04611716
P5	Gaussian	3.600035066	0.202476213	0.113317219	0.306854075	1.157370171	0.087666598
P5	Point	3.063896353	0.181883868	0.072703338	0.228224797	0.701964534	0.026805995
P5	Bessel	2.333356486	0.168229597	0.074818319	0.310983159	0.730846557	0.033976971
P5	Circle	2.53335847	0.313740123	0.116578657	0.326679428	0.851752753	0.199565559
P5	CircleCrossPoint	1.566682212	0.197023494	0.076530211	0.421359584	0.648978135	0.028025492
P5	Gaussian	3.300210165	0.227956615	0.103096288	0.323790613	1.097896026	0.10879748
P5	Point	3.533558359	0.185582963	0.099475392	0.307351501	1.084769826	0.051038542
P4	Bessel	2.667409163	0.327974923	0.136082399	0.318684367	0.805804892	0.082194212
P4	Circle	2.001310215	0.470499932	0.158978155	0.405426234	0.776372497	0.105321785
P4	CircleCrossPoint	2.868544642	0.421919065	0.155724534	0.320199582	0.876405565	0.106566542
P4	Gaussian	1.668207221	0.379496909	0.218086932	0.458775086	0.743906314	0.078197571
P4	Point	2.466690244	0.305435688	0.157493926	0.34934777	0.841433587	0.065903818
P4	Bessel	3.233711931	0.372179571	0.12209779	0.261621048	0.783749136	0.116813412
P4	Circle	3.400032499	0.385496333	0.158095024	0.326546623	1.048244516	0.186102501
P4	CircleCrossPoint	3.466699803	0.306879972	0.171275587	0.355340718	1.098364322	0.139709299
P4	Gaussian	1.76687353	0.452381685	0.188696659	0.445028345	0.694198192	0.127896387
P4	Point	1.233411431	0.294147283	0.207892698	0.552460697	0.629496079	0.053725362
P4	Bessel	1.900120313	0.33321288	0.098610434	0.438953783	0.620010248	0.03235725
P4	Circle	1.033565471	0.574538493	0.158207256	0.836993786	0.650022962	0.088361928
P4	CircleCrossPoint	3.066860856	0.41796339	0.087243255	0.27136947	0.771471047	0.101492844
P4	Gaussian	2.866694068	0.457746006	0.133088464	0.496017836	1.090913414	0.153705221
P4	Point	1.933040049	0.37175413	0.110444079	0.422426471	0.66695359	0.060373398
